schema_version,evidence_id,action_id,action_name,sector,component,source_id,source_title,pdf_page,printed_page,quote_verbatim,quote_language,indicator_ids_addressed,indicator_names_addressed,direction,quantified_value,support_scope,maladaptation_signal,extraction_run_id,review_status,reviewed_by,reviewed_at,review_note
0.3.0,ev_be93cadda902b51e,ipcc_0088,Update and enforce climate‑resilient building codes,energy_security,vulnerability,ES_SRC_009,Stronger Power: Improving Power Sector Resilience to Natural Hazards,38,37,"Resilience depends on developing or sustaining the laws, regulations, and guidelines that require utilities to (i) apply appropriate safety standards to resilient power facilities, both in the installation/construction phase and during regular maintenance and operation; and (ii) prepare an emergency action plan to be submitted to the relevant authority.",en,10017,Resilient cities,supports,,whole_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_4c6e577b9718e78c,ipcc_0089,Spatially redirect development,energy_security,exposure,ES_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",1657,1645,Reviewing land use and spatial planning to reduce exposure to climate risks,en,10018,Population density,supports,,whole_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_2aca8f1e09d74994,ipcc_0090,Expand climate risk insurance coverage,energy_security,vulnerability,ES_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",111,99,"Risk insurance can be a feasible tool to adapt to transfer climate risks and support sustainable development (high confidence). They can reduce both vulnerability and exposure, support post-disaster recovery and reduce financial burden on governments, households and business.",en,10015 | 10016,Municipal GDP per capita | Income greater than two minimum wages,qualifies,,partial_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_1f193de30faf2eab,ipcc_0090,Expand climate risk insurance coverage,energy_security,vulnerability,ES_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",952,940,"Finally, although insurance has the potential to incentivise practices to reduce risks, including through measures to reduce premiums (see Section 6.4.5 for additional details), researchers of insurance-led adaptation actions have argued that, since insurance regimes privilege normality, they tend to structurally embed risky behaviour and inhibit change (O’Hare, White and Connelly, 2016).",en,10015 | 10016,Municipal GDP per capita | Income greater than two minimum wages,contradicts,,partial_action,true,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_bf94b01ca0bddc71,ipcc_0091,Support livelihood diversification for climate resilience,energy_security,vulnerability,ES_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",111,99,"There is high evidence (medium agreement) that diversifying livelihoods improves incomes and reduces socioeconomic vulnerability, but feasibility changes depending on livelihood type, opportunities and local context.",en,10015 | 10016,Municipal GDP per capita | Income greater than two minimum wages,qualifies,,whole_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_1569f832674b0ce0,ipcc_0092,Expand climate‑responsive social safety nets,energy_security,vulnerability,ES_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",37,25,"Integrating climate adaptation into social protection programs, including cash transfers and public works programmes, is highly feasible and increases resilience to climate change, especially when supported by basic services and infrastructure. Social safety nets are increasingly being reconfigured to build adaptive capacities of the most vulnerable in rural and also urban communities. Social safety nets that support climate change adaptation have strong co-benefits with development goals such as education, poverty alleviation, gender inclusion and food security.",en,10016,Income greater than two minimum wages,qualifies,,whole_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_b4bcac10c0b7b7f8,ipcc_0099,Increase Water Capture and Storage,energy_security,vulnerability,ES_SRC_010,Enhancing Resilience: Climate-proofing Power Infrastructure,37,37,"PSH offers unmatched capacity for long-duration energy storage (hours to days), ensuring reliable power supply during extended outages, extreme weather events or disruption to fuel supply chains (LDES, 2023). PSH can offer between 12-hour and 31-hour storage depth (AEMO, 2019).",en,10013,Energy stored in hydroelectric reservoirs,supports,12-hour to 31-hour storage depth,whole_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_3400f3629cb707f5,ipcc_0100,Improve Efficient water use/demand,energy_security,vulnerability,ES_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",111,99,Efficient water use and water management especially in hydropower and combined cycle power plants in drought-prone areas have a high feasibility (high confidence) with multiple co-benefits (medium confidence). Water-related adaptation in the energy sector is highly effective up to 1.5°C but declines with increasing warming (medium confidence).,en,10013,Energy stored in hydroelectric reservoirs,supports,,whole_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_95f74ba43212671a,ipcc_0102,Facilitate seasonal and temporary mobility strategies,energy_security,exposure,ES_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",108,96,"Properly supported and where levels of agency and assets are high, migration as an adaptation to climate change can reduce exposure and socioeconomic vulnerability (medium confidence). However, migration becomes a risk when climate hazards cause an individual, household or community to move involuntarily or with low agency (high confidence).",en,10018,Population density,qualifies,,partial_action,true,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_7f4c9fc8de372db5,ipcc_0103,Strengthen cooperative climate governance,energy_security,vulnerability,ES_SRC_009,Stronger Power: Improving Power Sector Resilience to Natural Hazards,38,37,"Recovery operations encompass not only specific steps for damage recovery and power restoration, but also internal institutional coordination and cooperation with other utilities, governmental institutions, and municipalities.",en,10017,Resilient cities,supports,,whole_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_bb972ac290c8ac4b,ipcc_0103,Strengthen cooperative climate governance,energy_security,vulnerability,ES_SRC_010,Enhancing Resilience: Climate-proofing Power Infrastructure,30,30,"One of the key steps within the resilience framework is to develop an emergency management plan, which includes preparing a checklist, developing and reviewing outage recovery plans, procuring and conducting periodic review of back up resources, and coordination between different personnel and stakeholders. It is also important to create schemes to enhance the capacity of the system to withstand an event, minimise damage, recover rapidly and adapt to it.",en,10017,Resilient cities,supports,,whole_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_b3204e7c5a580e72,ipcc_0104,Plan and support permanent climate‑related migration,energy_security,exposure,ES_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",37,25,"Responses to ongoing sea level rise and land subsidence in low-lying coastal cities and settlements and small islands include protection, accommodation, advance and planned relocation (high confidence). These responses are more effective if combined and/or sequenced, planned well ahead, aligned with sociocultural values and development priorities, and underpinned by inclusive community engagement processes (high confidence).",en,10018,Population density,supports,,whole_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_bbebb04f15575bb8,ipcc_0104,Plan and support permanent climate‑related migration,energy_security,exposure,ES_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",108,96,"Properly supported and where levels of agency and assets are high, migration as an adaptation to climate change can reduce exposure and socioeconomic vulnerability (medium confidence). However, migration becomes a risk when climate hazards cause an individual, household or community to move involuntarily or with low agency (high confidence).",en,10018,Population density,qualifies,,whole_action,true,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_19a2fc123dbdf8c7,c40_0053,Promote water-saving technologies and practices,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,14,12,"Switching from flood irrigation to alternative wetting and drying of plots has reduced input costs by 20 percent, raised productivity by 5–10 percent, and significantly cut methane emissions and water use. Science, technology, outreach, training, and extension services for farmers and cooperatives through Farmer Field Schools; increased availability of certified seed; and better irrigation management techniques helped deliver the technology at large scale.",en,5019 | 5021 | 5024 | 5063,Irrigation susceptibility | Agriculture and water availability | Water deficit | Direct source water shortage,supports,20% lower input costs; 5–10% higher productivity; reduced water use,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_a4524d120f5c43f1,c40_0056,Improve Watershed Protection and Management,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,14,12,"In Himachal Pradesh state, improved management of the Mid-Himalayan watershed as part of a national watershed management program has given farmers US$8 million in carbon credits from the Prototype Carbon Fund. To date, up to 10,000 hectares of nonarable agricultural wastelands have been restored and degraded forests have been afforested. On arable lands, more than 10,000 water harvesting structures have been built, expanding irrigation potential by nearly 9,000 hectares benefiting some 54,000 rural households (24 percent of which are vulnerable households) increasing their resilience to drought.",en,5021 | 5023 | 5024 | 5025 | 5064,Agriculture and water availability | Agricultural areas with soil susceptible to erosion | Water deficit | Vegetation cover losses | Compromised water quality,supports,"10,000 ha restored/afforested; 10,000+ water-harvesting structures; nearly 9,000 ha additional irrigation potential",partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_e5d354a18b69cca6,icare_0144,Establish a financial support program for extreme weather events,food_security,vulnerability,FS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability (AR6 WGII), Chapter 5: Food, Fibre and Other Ecosystem Products",7,719,"Supportive public policies will enhance effectiveness and/or feasibility of adaptation in ecosystem provisioning services (medium confidence). Policies that support system transitions include shifting subsidies, removing perverse incentives, regulation and certification, green public procurement, investment in sustainable value chains, support for capacity-building, access to insurance premiums, payments for ecosystem services, and social protection, among others (medium confidence).",en,5026 | 5027 | 5028 | 5030 | 5031 | 5071 | 5077 | 5079,Investment in agrarian and environmental management policies | Harvest guarantee program | PRONAF coverage | Proagro coverage plus | PSR coverage | Federal investment per capita | Scope of the family allowance program | Households with high per capita income,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_935a48a7d5ac96bf,icare_0144,Establish a financial support program for extreme weather events,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,22,20,"Modern parametric approaches to risk quantification and monitoring have led to the development of insurance type products that have the ability to manage risk more efficiently, especially at the aggregated (for example, banks) level, and that can be used to reduce the cost of finance for farmers. Increasingly, countries are introducing risk financing approaches and products that will enable the catastrophic layer of loss from events such as floods and droughts to be managed by government and enable compensation to flow to farmers.",en,5027 | 5028 | 5030 | 5031 | 5077 | 5079,Harvest guarantee program | PRONAF coverage | Proagro coverage plus | PSR coverage | Scope of the family allowance program | Households with high per capita income,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_cee37cf88880c6f7,icare_0156,Improve Implementation of urban gardens,food_security,vulnerability,FS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability (AR6 WGII), Chapter 5: Food, Fibre and Other Ecosystem Products",33,745,"Crop diversification reduces cereal crop sensitivity to precipitation variability, yield losses and crop insurance payouts under drought (high confidence). For example, a study in Canada comparing diversified rotations and monoculture corn found significant positive yield impacts, yield stability and increased SOC under both RCP4.5 and RCP8.5 by 2100.",en,5016 | 5018 | 5022 | 5032,Susceptibility of agricultural productivity | Homogeneity of agricultural production | Agricultural areas with low agricultural potential | Technical guidance,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_b331e60fac0107d0,icare_0160,Establish mechanisms for intersectoral coordination and public participation in climate policy,food_security,vulnerability,FS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability (AR6 WGII), Chapter 5: Food, Fibre and Other Ecosystem Products",7,719,"Supportive public policies will enhance effectiveness and/or feasibility of adaptation in ecosystem provisioning services (medium confidence). Policies that support system transitions include shifting subsidies, removing perverse incentives, regulation and certification, green public procurement, investment in sustainable value chains, support for capacity-building, access to insurance premiums, payments for ecosystem services, and social protection, among others (medium confidence).",en,5026 | 5033 | 5071 | 5072,Investment in agrarian and environmental management policies | Associativism | Federal investment per capita | Food safety instruments,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_70b48f6a25c432c0,icare_0164,Improve Hydrological Monitoring System with Telemetry Stations,food_security,vulnerability,FS_SRC_003,Estratégia de Adaptação à Mudança do Clima para a Agropecuária Brasileira,13,4,"Previsão Climática e Zoneamento Territorial (PZ): ferramentas importantes pois possibilitam a construção de cenários preditivos e exploratórios sobre os efeitos da mudança do clima na agricultura e minimizam os riscos climáticos. Além de permitir compreender a favorabilidade climática para as áreas de produção de determinadas culturas considerando clima, solo (textura) e ciclo da cultivar, evitando os riscos.",pt,5019 | 5021 | 5024,Irrigation susceptibility | Agriculture and water availability | Water deficit,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_894ffb7b63393d7d,icare_0171,"Improve the hydrometeorological forecasting, monitoring, and alert system for climate risks",food_security,vulnerability,FS_SRC_003,Estratégia de Adaptação à Mudança do Clima para a Agropecuária Brasileira,13,4,"Previsão Climática e Zoneamento Territorial (PZ): ferramentas importantes pois possibilitam a construção de cenários preditivos e exploratórios sobre os efeitos da mudança do clima na agricultura e minimizam os riscos climáticos. Além de permitir compreender a favorabilidade climática para as áreas de produção de determinadas culturas considerando clima, solo (textura) e ciclo da cultivar, evitando os riscos.",pt,5016 | 5017 | 5019 | 5020 | 5021 | 5024,Susceptibility of agricultural productivity | Susceptibility of livestock productivity | Irrigation susceptibility | Fire hotspots | Agriculture and water availability | Water deficit,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_f812933382533c8b,icare_0176,Develop a Climate Action Plan,food_security,vulnerability,FS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability (AR6 WGII), Chapter 5: Food, Fibre and Other Ecosystem Products",7,719,"Supportive public policies will enhance effectiveness and/or feasibility of adaptation in ecosystem provisioning services (medium confidence). Policies that support system transitions include shifting subsidies, removing perverse incentives, regulation and certification, green public procurement, investment in sustainable value chains, support for capacity-building, access to insurance premiums, payments for ecosystem services, and social protection, among others (medium confidence).",en,5026 | 5071 | 5072,Investment in agrarian and environmental management policies | Federal investment per capita | Food safety instruments,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_a6278c5dcaf35a66,icare_0182,Develop an Urban Afforestation Plan,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,14,12,"In Himachal Pradesh state, improved management of the Mid-Himalayan watershed as part of a national watershed management program has given farmers US$8 million in carbon credits from the Prototype Carbon Fund. To date, up to 10,000 hectares of nonarable agricultural wastelands have been restored and degraded forests have been afforested. On arable lands, more than 10,000 water harvesting structures have been built, expanding irrigation potential by nearly 9,000 hectares benefiting some 54,000 rural households (24 percent of which are vulnerable households) increasing their resilience to drought.",en,5023 | 5025,Agricultural areas with soil susceptible to erosion | Vegetation cover losses,supports,"10,000 ha restored/afforested; 10,000+ water-harvesting structures; nearly 9,000 ha additional irrigation potential",partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_fd4b76ec8cbc0f58,icare_0183,Implement Multi-hazard Early Warning Systems (MH-EWS),food_security,vulnerability,FS_SRC_003,Estratégia de Adaptação à Mudança do Clima para a Agropecuária Brasileira,13,4,"Previsão Climática e Zoneamento Territorial (PZ): ferramentas importantes pois possibilitam a construção de cenários preditivos e exploratórios sobre os efeitos da mudança do clima na agricultura e minimizam os riscos climáticos. Além de permitir compreender a favorabilidade climática para as áreas de produção de determinadas culturas considerando clima, solo (textura) e ciclo da cultivar, evitando os riscos.",pt,5016 | 5017 | 5019 | 5020 | 5021 | 5024,Susceptibility of agricultural productivity | Susceptibility of livestock productivity | Irrigation susceptibility | Fire hotspots | Agriculture and water availability | Water deficit,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_6d65d00512a38132,icare_0184,Upgrade Slope stabilization and drainage,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,14,12,"In Himachal Pradesh state, improved management of the Mid-Himalayan watershed as part of a national watershed management program has given farmers US$8 million in carbon credits from the Prototype Carbon Fund. To date, up to 10,000 hectares of nonarable agricultural wastelands have been restored and degraded forests have been afforested. On arable lands, more than 10,000 water harvesting structures have been built, expanding irrigation potential by nearly 9,000 hectares benefiting some 54,000 rural households (24 percent of which are vulnerable households) increasing their resilience to drought.",en,5023,Agricultural areas with soil susceptible to erosion,supports,"10,000 ha restored/afforested; 10,000+ water-harvesting structures; nearly 9,000 ha additional irrigation potential",partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_062b74181e7f98fe,ipcc_0084,Restore/create natural areas,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,14,12,"In Himachal Pradesh state, improved management of the Mid-Himalayan watershed as part of a national watershed management program has given farmers US$8 million in carbon credits from the Prototype Carbon Fund. To date, up to 10,000 hectares of nonarable agricultural wastelands have been restored and degraded forests have been afforested. On arable lands, more than 10,000 water harvesting structures have been built, expanding irrigation potential by nearly 9,000 hectares benefiting some 54,000 rural households (24 percent of which are vulnerable households) increasing their resilience to drought.",en,5025,Vegetation cover losses,supports,"10,000 ha restored/afforested; 10,000+ water-harvesting structures; nearly 9,000 ha additional irrigation potential",partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_687e721d9f8a5ec2,ipcc_0085,Reduce pressures on ecosystems to build resilience,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,14,12,"In Himachal Pradesh state, improved management of the Mid-Himalayan watershed as part of a national watershed management program has given farmers US$8 million in carbon credits from the Prototype Carbon Fund. To date, up to 10,000 hectares of nonarable agricultural wastelands have been restored and degraded forests have been afforested. On arable lands, more than 10,000 water harvesting structures have been built, expanding irrigation potential by nearly 9,000 hectares benefiting some 54,000 rural households (24 percent of which are vulnerable households) increasing their resilience to drought.",en,5025 | 5064,Vegetation cover losses | Compromised water quality,supports,"10,000 ha restored/afforested; 10,000+ water-harvesting structures; nearly 9,000 ha additional irrigation potential",partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_c744aae4bfa50859,ipcc_0086,Implement ecosystem‑based adaptation measures,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,14,12,"In Himachal Pradesh state, improved management of the Mid-Himalayan watershed as part of a national watershed management program has given farmers US$8 million in carbon credits from the Prototype Carbon Fund. To date, up to 10,000 hectares of nonarable agricultural wastelands have been restored and degraded forests have been afforested. On arable lands, more than 10,000 water harvesting structures have been built, expanding irrigation potential by nearly 9,000 hectares benefiting some 54,000 rural households (24 percent of which are vulnerable households) increasing their resilience to drought.",en,5016 | 5019 | 5021 | 5022 | 5023 | 5024 | 5025,Susceptibility of agricultural productivity | Irrigation susceptibility | Agriculture and water availability | Agricultural areas with low agricultural potential | Agricultural areas with soil susceptible to erosion | Water deficit | Vegetation cover losses,supports,"10,000 ha restored/afforested; 10,000+ water-harvesting structures; nearly 9,000 ha additional irrigation potential",partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_c28fbc691be4fd17,ipcc_0090,Expand climate risk insurance coverage,food_security,vulnerability,FS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability (AR6 WGII), Chapter 5: Food, Fibre and Other Ecosystem Products",7,719,"Supportive public policies will enhance effectiveness and/or feasibility of adaptation in ecosystem provisioning services (medium confidence). Policies that support system transitions include shifting subsidies, removing perverse incentives, regulation and certification, green public procurement, investment in sustainable value chains, support for capacity-building, access to insurance premiums, payments for ecosystem services, and social protection, among others (medium confidence).",en,5027 | 5028 | 5030 | 5031 | 5072 | 5077 | 5079,Harvest guarantee program | PRONAF coverage | Proagro coverage plus | PSR coverage | Food safety instruments | Scope of the family allowance program | Households with high per capita income,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_22b4d4a2772a43db,ipcc_0090,Expand climate risk insurance coverage,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,22,20,"Modern parametric approaches to risk quantification and monitoring have led to the development of insurance type products that have the ability to manage risk more efficiently, especially at the aggregated (for example, banks) level, and that can be used to reduce the cost of finance for farmers. Increasingly, countries are introducing risk financing approaches and products that will enable the catastrophic layer of loss from events such as floods and droughts to be managed by government and enable compensation to flow to farmers.",en,5027 | 5028 | 5030 | 5031 | 5038 | 5072 | 5077 | 5079,Harvest guarantee program | PRONAF coverage | Proagro coverage plus | PSR coverage | Diversity of revenues | Food safety instruments | Scope of the family allowance program | Households with high per capita income,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_dc4124eb9a25be93,ipcc_0091,Support livelihood diversification for climate resilience,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,15,13,"Intercropping promoted through this collaboration has helped to boost incomes and fight hunger in the coffee lands while delivering adaptation and mitigation benefits in part of Nicaragua and in Chiapas state, Mexico. Diversified production systems have helped boost the resilience of farmer incomes throughout the year, while fruit trees provide shade, boosting resilience to drought and heat, and absorb carbon.",en,5038 | 5067 | 5079,Diversity of revenues | Food and nutritional insecurity | Households with high per capita income,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_4f20e5ec102e008d,ipcc_0092,Expand climate‑responsive social safety nets,food_security,vulnerability,FS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability (AR6 WGII), Chapter 5: Food, Fibre and Other Ecosystem Products",7,719,"Supportive public policies will enhance effectiveness and/or feasibility of adaptation in ecosystem provisioning services (medium confidence). Policies that support system transitions include shifting subsidies, removing perverse incentives, regulation and certification, green public procurement, investment in sustainable value chains, support for capacity-building, access to insurance premiums, payments for ecosystem services, and social protection, among others (medium confidence).",en,5071 | 5072 | 5077 | 5079,Federal investment per capita | Food safety instruments | Scope of the family allowance program | Households with high per capita income,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_b837366c1b9f8784,ipcc_0092,Expand climate‑responsive social safety nets,food_security,vulnerability,FS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability (AR6 WGII), Chapter 5: Food, Fibre and Other Ecosystem Products",89,801,"Integrated multi-sectoral strategies that incorporate social protection are effective adaptation responses (high confidence). Social protection programmes, such as cash transfers, weather index insurance and asset-building activities such as well construction, can support short-term responses to acute food insecurity in response to extreme events but can also build adaptive capacity longer term.",en,5067 | 5068 | 5071 | 5072 | 5073 | 5074 | 5077 | 5078 | 5079,Food and nutritional insecurity | Child malnutrition | Federal investment per capita | Food safety instruments | National school feeding program (PNAE) | Food Acquisition Program (PAA) | Scope of the family allowance program | Equality in intra-household income distribution | Households with high per capita income,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_faac5e2a24d614c9,ipcc_0092,Expand climate‑responsive social safety nets,food_security,vulnerability,FS_SRC_012,Rising to the Challenge: Success Stories and Strategies for Achieving Climate Adaptation and Resilience,17,,"Anticipatory and early response programs, including through national safety net programs, delivering social protection and financial inclusion by acting ahead of predicted hazards; preventing or reducing the adverse effects of shocks on lives and livelihoods before the impacts fully manifest. Helping alleviate short-term humanitarian need by reducing food insecurity: e.g. in Niger, the early transfers improve food security by 8%, consumption by 17.6%, and psychological well-being by 17.8%.",en,5067 | 5068 | 5071 | 5072 | 5073 | 5074 | 5077 | 5078 | 5079,Food and nutritional insecurity | Child malnutrition | Federal investment per capita | Food safety instruments | National school feeding program (PNAE) | Food Acquisition Program (PAA) | Scope of the family allowance program | Equality in intra-household income distribution | Households with high per capita income,supports,8% improved food security; 17.6% improved consumption; 17.8% improved psychological well-being,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_75417fd5afb2ec00,ipcc_0096,Strengthen climate resilience in farming and fisheries,food_security,vulnerability,FS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability (AR6 WGII), Chapter 5: Food, Fibre and Other Ecosystem Products",33,745,"Crop diversification reduces cereal crop sensitivity to precipitation variability, yield losses and crop insurance payouts under drought (high confidence). For example, a study in Canada comparing diversified rotations and monoculture corn found significant positive yield impacts, yield stability and increased SOC under both RCP4.5 and RCP8.5 by 2100.",en,5016 | 5018 | 5021 | 5022 | 5023 | 5024 | 5025 | 5032,Susceptibility of agricultural productivity | Homogeneity of agricultural production | Agriculture and water availability | Agricultural areas with low agricultural potential | Agricultural areas with soil susceptible to erosion | Water deficit | Vegetation cover losses | Technical guidance,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_dae01198a1b761c8,ipcc_0096,Strengthen climate resilience in farming and fisheries,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,14,12,"Switching from flood irrigation to alternative wetting and drying of plots has reduced input costs by 20 percent, raised productivity by 5–10 percent, and significantly cut methane emissions and water use. Science, technology, outreach, training, and extension services for farmers and cooperatives through Farmer Field Schools; increased availability of certified seed; and better irrigation management techniques helped deliver the technology at large scale.",en,5016 | 5019 | 5021 | 5024 | 5032,Susceptibility of agricultural productivity | Irrigation susceptibility | Agriculture and water availability | Water deficit | Technical guidance,supports,20% lower input costs; 5–10% higher productivity; reduced water use,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_6febfd394956d59b,ipcc_0097,Upgrade food storage and distribution for climate resilience,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,12,10,"Reducing food waste and food loss is key for boosting the CSA triple win by raising the overall food system productivity while delivering greater resilience and lower emissions by using less land, forests, and water resources.",en,5036 | 5037 | 5066 | 5067 | 5072,Storage capacity | Distance from warehouses | Municipalities without a basic food supply network | Food and nutritional insecurity | Food safety instruments,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_c5443b6dce63fdf1,ipcc_0098,"Increase resilience by improving access to food, improving livelihoods and promoting dietary shifts and food waste reduction",food_security,vulnerability,FS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability (AR6 WGII), Chapter 5: Food, Fibre and Other Ecosystem Products",89,801,"Integrated multi-sectoral strategies that incorporate social protection are effective adaptation responses (high confidence). Social protection programmes, such as cash transfers, weather index insurance and asset-building activities such as well construction, can support short-term responses to acute food insecurity in response to extreme events but can also build adaptive capacity longer term.",en,5067 | 5068 | 5072 | 5073 | 5074 | 5077 | 5079,Food and nutritional insecurity | Child malnutrition | Food safety instruments | National school feeding program (PNAE) | Food Acquisition Program (PAA) | Scope of the family allowance program | Households with high per capita income,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_d7c3971e0faca790,ipcc_0098,"Increase resilience by improving access to food, improving livelihoods and promoting dietary shifts and food waste reduction",food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,12,10,"Reducing food waste and food loss is key for boosting the CSA triple win by raising the overall food system productivity while delivering greater resilience and lower emissions by using less land, forests, and water resources.",en,5036 | 5065 | 5066 | 5067 | 5070 | 5072,Storage capacity | Ultra-processed food commercial establishments | Municipalities without a basic food supply network | Food and nutritional insecurity | Overweight and obesity | Food safety instruments,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_a95986dd249f3116,ipcc_0099,Increase Water Capture and Storage,food_security,vulnerability,FS_SRC_009,Future of Food: Shaping a Climate-Smart Global Food System,14,12,"In Himachal Pradesh state, improved management of the Mid-Himalayan watershed as part of a national watershed management program has given farmers US$8 million in carbon credits from the Prototype Carbon Fund. To date, up to 10,000 hectares of nonarable agricultural wastelands have been restored and degraded forests have been afforested. On arable lands, more than 10,000 water harvesting structures have been built, expanding irrigation potential by nearly 9,000 hectares benefiting some 54,000 rural households (24 percent of which are vulnerable households) increasing their resilience to drought.",en,5019 | 5021 | 5024 | 5029 | 5076,Irrigation susceptibility | Agriculture and water availability | Water deficit | cistern program | Cistern program service,supports,"10,000 ha restored/afforested; 10,000+ water-harvesting structures; nearly 9,000 ha additional irrigation potential",partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
